eventID	taxonID	scientificName
199348	SH532010.07FU	SH532010.07FU
1398508	SH532010.07FU	SH532010.07FU
1463657	SH532108.07FU	SH532108.07FU
1401719	SH532401.07FU	SH532401.07FU
1401719	SH532392.07FU	SH532392.07FU
867476	SH217499.07FU	SH217499.07FU
236476	SH217499.07FU	SH217499.07FU
1398645	SH532801.07FU	SH532801.07FU
1398646	SH532806.07FU	SH532806.07FU
1398643	SH532811.07FU	SH532811.07FU
1398780	SH523535.07FU	SH523535.07FU
1398636	SH532823.07FU	SH532823.07FU
185914	SH184638.07FU	SH184638.07FU
99720	SH184618.07FU	SH184618.07FU
1060858	SH184618.07FU	SH184618.07FU
156935	SH184577.07FU	SH184577.07FU
2454	SH184572.07FU	SH184572.07FU
40268	SH184620.07FU	SH184620.07FU
109238	SH184620.07FU	SH184620.07FU
40290	SH184625.07FU	SH184625.07FU
40291	SH184625.07FU	SH184625.07FU
156079	SH184612.07FU	SH184612.07FU
177076	SH184612.07FU	SH184612.07FU
123551	SH184655.07FU	SH184655.07FU
123550	SH184656.07FU	SH184656.07FU
40307	SH184657.07FU	SH184657.07FU
897557	SH184658.07FU	SH184658.07FU
170015	SH184663.07FU	SH184663.07FU
100325	SH184676.07FU	SH184676.07FU
10894	SH184679.07FU	SH184679.07FU
967296	SH184688.07FU	SH184688.07FU
583590	SH184690.07FU	SH184690.07FU
867470	SH184694.07FU	SH184694.07FU
373	SH184650.07FU	SH184650.07FU
374	SH184650.07FU	SH184650.07FU
106054	SH184699.07FU	SH184699.07FU
1526926	SH184699.07FU	SH184699.07FU
1526927	SH184699.07FU	SH184699.07FU
6207	SH184705.07FU	SH184705.07FU
8527	SH184709.07FU	SH184709.07FU
21611	SH184711.07FU	SH184711.07FU
903248	SH184712.07FU	SH184712.07FU
42011	SH184716.07FU	SH184716.07FU
401	SH184721.07FU	SH184721.07FU
38400	SH184723.07FU	SH184723.07FU
1181	SH184724.07FU	SH184724.07FU
156079	SH184726.07FU	SH184726.07FU
169405	SH184730.07FU	SH184730.07FU
159895	SH184735.07FU	SH184735.07FU
170773	SH184737.07FU	SH184737.07FU
11382	SH184745.07FU	SH184745.07FU
99566	SH184747.07FU	SH184747.07FU
100325	SH184748.07FU	SH184748.07FU
1181	SH184749.07FU	SH184749.07FU
156472	SH184751.07FU	SH184751.07FU
177254	SH184755.07FU	SH184755.07FU
185914	SH184756.07FU	SH184756.07FU
2646	SH184757.07FU	SH184757.07FU
25	SH184761.07FU	SH184761.07FU
17786	SH184762.07FU	SH184762.07FU
189791	SH184765.07FU	SH184765.07FU
6440	SH184766.07FU	SH184766.07FU
177254	SH184772.07FU	SH184772.07FU
99439	SH184773.07FU	SH184773.07FU
170447	SH184776.07FU	SH184776.07FU
61	SH184778.07FU	SH184778.07FU
6343	SH184779.07FU	SH184779.07FU
4323	SH184780.07FU	SH184780.07FU
2060	SH184788.07FU	SH184788.07FU
460	SH184790.07FU	SH184790.07FU
110006	SH184795.07FU	SH184795.07FU
263545	SH184796.07FU	SH184796.07FU
175437	SH184800.07FU	SH184800.07FU
186898	SH184801.07FU	SH184801.07FU
196809	SH184802.07FU	SH184802.07FU
159023	SH184804.07FU	SH184804.07FU
396	SH184805.07FU	SH184805.07FU
2477	SH184807.07FU	SH184807.07FU
903245	SH185280.07FU	SH185280.07FU
114730	SH185312.07FU	SH185312.07FU
197977	SH527478.07FU	SH527478.07FU
401	SH218382.07FU	SH218382.07FU
362	SH218382.07FU	SH218382.07FU
120435	SH218382.07FU	SH218382.07FU
1400484	SH218382.07FU	SH218382.07FU
1464330	SH218382.07FU	SH218382.07FU
1477046	SH521996.07FU	SH521996.07FU
897585	SH478697.07FU	SH478697.07FU
12035	SH478837.07FU	SH478837.07FU
1400476	SH522946.07FU	SH522946.07FU
1530786	SH522946.07FU	SH522946.07FU
1401343	SH527558.07FU	SH527558.07FU
1465487	SH527558.07FU	SH527558.07FU
189876	SH479642.07FU	SH479642.07FU
1399149	SH532894.07FU	SH532894.07FU
903317	SH202034.07FU	SH202034.07FU
903319	SH202034.07FU	SH202034.07FU
185784	SH480104.07FU	SH480104.07FU
1475636	SH532658.07FU	SH532658.07FU
1401343	SH522503.07FU	SH522503.07FU
200686	SH523722.07FU	SH523722.07FU
200683	SH523723.07FU	SH523723.07FU
8527	SH178137.07FU	SH178137.07FU
199342	SH178137.07FU	SH178137.07FU
10308	SH178287.07FU	SH178287.07FU
1464738	SH178287.07FU	SH178287.07FU
236476	SH523241.07FU	SH523241.07FU
908541	SH480776.07FU	SH480776.07FU
236148	SH523250.07FU	SH523250.07FU
1399961	SH529321.07FU	SH529321.07FU
235467	SH523333.07FU	SH523333.07FU
1401139	SH533026.07FU	SH533026.07FU
1401343	SH533033.07FU	SH533033.07FU
234778	SH529404.07FU	SH529404.07FU
1398508	SH529404.07FU	SH529404.07FU
8527	SH189555.07FU	SH189555.07FU
6343	SH189555.07FU	SH189555.07FU
88309	SH189539.07FU	SH189539.07FU
88339	SH189539.07FU	SH189539.07FU
118	SH189534.07FU	SH189534.07FU
18401	SH189534.07FU	SH189534.07FU
583630	SH189588.07FU	SH189588.07FU
173164	SH189592.07FU	SH189592.07FU
897104	SH189597.07FU	SH189597.07FU
169039	SH189643.07FU	SH189643.07FU
80456	SH189710.07FU	SH189710.07FU
6440	SH189716.07FU	SH189716.07FU
121495	SH189728.07FU	SH189728.07FU
169048	SH189743.07FU	SH189743.07FU
7250	SH189803.07FU	SH189803.07FU
1466058	SH523934.07FU	SH523934.07FU
1463810	SH523952.07FU	SH523952.07FU
1465667	SH523957.07FU	SH523957.07FU
1464656	SH523961.07FU	SH523961.07FU
199239	SH523998.07FU	SH523998.07FU
199241	SH523998.07FU	SH523998.07FU
1398633	SH523495.07FU	SH523495.07FU
199337	SH524018.07FU	SH524018.07FU
199339	SH524019.07FU	SH524019.07FU
1398639	SH523498.07FU	SH523498.07FU
235066	SH524035.07FU	SH524035.07FU
234651	SH533226.07FU	SH533226.07FU
234778	SH533231.07FU	SH533231.07FU
236494	SH533368.07FU	SH533368.07FU
236148	SH533393.07FU	SH533393.07FU
236148	SH533395.07FU	SH533395.07FU
236148	SH533397.07FU	SH533397.07FU
235116	SH524049.07FU	SH524049.07FU
1477036	SH521988.07FU	SH521988.07FU
1477040	SH521988.07FU	SH521988.07FU
1399961	SH522289.07FU	SH522289.07FU
1399961	SH522286.07FU	SH522286.07FU
1400860	SH522708.07FU	SH522708.07FU
1464106	SH522708.07FU	SH522708.07FU
1465137	SH522708.07FU	SH522708.07FU
1465862	SH522708.07FU	SH522708.07FU
1465133	SH532205.07FU	SH532205.07FU
1465135	SH532205.07FU	SH532205.07FU
236148	SH523249.07FU	SH523249.07FU
1397936	SH523631.07FU	SH523631.07FU
1401739	SH523631.07FU	SH523631.07FU
234778	SH524071.07FU	SH524071.07FU
1397936	SH523621.07FU	SH523621.07FU
199238	SH533480.07FU	SH533480.07FU
199312	SH533495.07FU	SH533495.07FU
21559	SH189338.07FU	SH189338.07FU
236148	SH189338.07FU	SH189338.07FU
961399	SH533591.07FU	SH533591.07FU
273973	SH533593.07FU	SH533593.07FU
172801	SH184863.07FU	SH184863.07FU
409	SH184870.07FU	SH184870.07FU
123552	SH185262.07FU	SH185262.07FU
170773	SH185262.07FU	SH185262.07FU
157461	SH185275.07FU	SH185275.07FU
867453	SH185277.07FU	SH185277.07FU
123658	SH185278.07FU	SH185278.07FU
170741	SH185282.07FU	SH185282.07FU
3839	SH185296.07FU	SH185296.07FU
114730	SH185301.07FU	SH185301.07FU
863464	SH185302.07FU	SH185302.07FU
79956	SH185271.07FU	SH185271.07FU
170451	SH185271.07FU	SH185271.07FU
80113	SH189694.07FU	SH189694.07FU
199345	SH189694.07FU	SH189694.07FU
1879533	SH189694.07FU	SH189694.07FU
1879534	SH189694.07FU	SH189694.07FU
24383	SH189657.07FU	SH189657.07FU
199237	SH189657.07FU	SH189657.07FU
903311	SH189661.07FU	SH189661.07FU
197977	SH189661.07FU	SH189661.07FU
24774	SH189679.07FU	SH189679.07FU
1399961	SH189679.07FU	SH189679.07FU
120435	SH189711.07FU	SH189711.07FU
1400561	SH189711.07FU	SH189711.07FU
38400	SH189708.07FU	SH189708.07FU
1400466	SH189708.07FU	SH189708.07FU
61	SH189777.07FU	SH189777.07FU
199982	SH189777.07FU	SH189777.07FU
903646	SH189768.07FU	SH189768.07FU
235259	SH189768.07FU	SH189768.07FU
1475547	SH189768.07FU	SH189768.07FU
1530666	SH189768.07FU	SH189768.07FU
301944	SH189796.07FU	SH189796.07FU
868429	SH189796.07FU	SH189796.07FU
1463575	SH189796.07FU	SH189796.07FU
1464284	SH189796.07FU	SH189796.07FU
1615092	SH189796.07FU	SH189796.07FU
197466	SH189800.07FU	SH189800.07FU
235727	SH189800.07FU	SH189800.07FU
199312	SH535520.07FU	SH535520.07FU
199241	SH527806.07FU	SH527806.07FU
186898	SH215333.07FU	SH215333.07FU
157721	SH191230.07FU	SH191230.07FU
114730	SH191232.07FU	SH191232.07FU
45	SH217380.07FU	SH217380.07FU
46	SH217380.07FU	SH217380.07FU
58	SH217380.07FU	SH217380.07FU
869933	SH217380.07FU	SH217380.07FU
933229	SH217382.07FU	SH217382.07FU
264272	SH217383.07FU	SH217383.07FU
199235	SH523999.07FU	SH523999.07FU
61	SH191767.07FU	SH191767.07FU
1398639	SH534443.07FU	SH534443.07FU
1398650	SH534455.07FU	SH534455.07FU
1398780	SH534469.07FU	SH534469.07FU
1402378	SH535697.07FU	SH535697.07FU
1474864	SH528025.07FU	SH528025.07FU
24774	SH202649.07FU	SH202649.07FU
235290	SH534859.07FU	SH534859.07FU
235066	SH534871.07FU	SH534871.07FU
1398636	SH522380.07FU	SH522380.07FU
1398636	SH528677.07FU	SH528677.07FU
1398641	SH528679.07FU	SH528679.07FU
1398639	SH528686.07FU	SH528686.07FU
1398647	SH528693.07FU	SH528693.07FU
1398634	SH528695.07FU	SH528695.07FU
1463730	SH535757.07FU	SH535757.07FU
1464755	SH535757.07FU	SH535757.07FU
1402202	SH535795.07FU	SH535795.07FU
1403491	SH535814.07FU	SH535814.07FU
867454	SH185276.07FU	SH185276.07FU
1463633	SH185276.07FU	SH185276.07FU
3839	SH185295.07FU	SH185295.07FU
1465835	SH185295.07FU	SH185295.07FU
1398780	SH528714.07FU	SH528714.07FU
961400	SH532031.07FU	SH532031.07FU
273959	SH532034.07FU	SH532034.07FU
1463635	SH532076.07FU	SH532076.07FU
237234	SH535065.07FU	SH535065.07FU
199346	SH528741.07FU	SH528741.07FU
1399673	SH528741.07FU	SH528741.07FU
1879536	SH528741.07FU	SH528741.07FU
236148	SH535153.07FU	SH535153.07FU
1401343	SH528870.07FU	SH528870.07FU
897589	SH199870.07FU	SH199870.07FU
1401139	SH528906.07FU	SH528906.07FU
80117	SH465047.07FU	SH465047.07FU
195768	SH535232.07FU	SH535232.07FU
961368	SH535240.07FU	SH535240.07FU
1401831	SH528926.07FU	SH528926.07FU
1465852	SH535265.07FU	SH535265.07FU
1463736	SH535276.07FU	SH535276.07FU
915201	SH474665.07FU	SH474665.07FU
236148	SH536113.07FU	SH536113.07FU
236148	SH536114.07FU	SH536114.07FU
236148	SH536121.07FU	SH536121.07FU
236148	SH536122.07FU	SH536122.07FU
236148	SH536123.07FU	SH536123.07FU
275425	SH202048.07FU	SH202048.07FU
1401739	SH528964.07FU	SH528964.07FU
1401343	SH522506.07FU	SH522506.07FU
1590532	SH522506.07FU	SH522506.07FU
1398650	SH529050.07FU	SH529050.07FU
1398647	SH529057.07FU	SH529057.07FU
8781	SH184846.07FU	SH184846.07FU
11250	SH184846.07FU	SH184846.07FU
2271	SH184846.07FU	SH184846.07FU
21497	SH184846.07FU	SH184846.07FU
23291	SH184846.07FU	SH184846.07FU
23292	SH184846.07FU	SH184846.07FU
24152	SH184846.07FU	SH184846.07FU
111585	SH184846.07FU	SH184846.07FU
157378	SH184846.07FU	SH184846.07FU
111588	SH184846.07FU	SH184846.07FU
173916	SH184846.07FU	SH184846.07FU
195889	SH184846.07FU	SH184846.07FU
80471	SH184864.07FU	SH184864.07FU
939441	SH184852.07FU	SH184852.07FU
939442	SH184852.07FU	SH184852.07FU
971590	SH184852.07FU	SH184852.07FU
971592	SH184852.07FU	SH184852.07FU
972398	SH184852.07FU	SH184852.07FU
1465521	SH184852.07FU	SH184852.07FU
1465523	SH184852.07FU	SH184852.07FU
263539	SH184860.07FU	SH184860.07FU
263716	SH184860.07FU	SH184860.07FU
972270	SH184874.07FU	SH184874.07FU
263542	SH184880.07FU	SH184880.07FU
1398645	SH529066.07FU	SH529066.07FU
1398636	SH529075.07FU	SH529075.07FU
109065	SH208486.07FU	SH208486.07FU
167648	SH208489.07FU	SH208489.07FU
40289	SH185265.07FU	SH185265.07FU
933848	SH185265.07FU	SH185265.07FU
1398780	SH529099.07FU	SH529099.07FU
236925	SH529131.07FU	SH529131.07FU
1398645	SH529069.07FU	SH529069.07FU
1401343	SH529215.07FU	SH529215.07FU
1401343	SH529216.07FU	SH529216.07FU
1401343	SH529220.07FU	SH529220.07FU
45	SH217350.07FU	SH217350.07FU
1399961	SH217350.07FU	SH217350.07FU
79794	SH216352.07FU	SH216352.07FU
933553	SH216355.07FU	SH216355.07FU
157252	SH216359.07FU	SH216359.07FU
40297	SH217489.07FU	SH217489.07FU
8527	SH217502.07FU	SH217502.07FU
908546	SH217510.07FU	SH217510.07FU
109311	SH217816.07FU	SH217816.07FU
199754	SH529451.07FU	SH529451.07FU
200686	SH529451.07FU	SH529451.07FU
200846	SH529535.07FU	SH529535.07FU
897558	SH214531.07FU	SH214531.07FU
1403579	SH532628.07FU	SH532628.07FU
1399440	SH532900.07FU	SH532900.07FU
1463651	SH533638.07FU	SH533638.07FU
