eventID	eventDate	samplingProtocol	sampleSizeValue	sampleSizeUnit	decimalLatitude	decimalLongitude	geodeticDatum	countryCode
170457			31	sequences	73.61	-115.83	WGS84	CA
159026			7	sequences	42.99	-76.13	WGS84	US
157721			61	sequences				TH
120435			96	sequences	19.1	-99.13333	WGS84	MX
255513			1	sequences				US
13841			26	sequences				US
199336			9	sequences	49.7176	-125.1551	WGS84	CA
1399672			24	sequences	49.7176	-125.1551	WGS84	CA
1403579			91	sequences	50.07	-125.42	WGS84	CA
554062	2012-09-11		1	sequences	58.08012	26.3559	WGS84	EE
454856	2007-09-08		1	sequences	59.12825	23.67463	WGS84	EE
1465826	2015-08-19		1	sequences	58.464704	23.833498	WGS84	EE
401			289	sequences	35.97759	-79.09693	WGS84	US
395			72	sequences	35.97759	-79.09693	WGS84	US
362			863	sequences	36.00644	-78.96315	WGS84	US
1400484			15	sequences	35.9883	-79.0899	WGS84	US
263282	2006-08-05		1	sequences	-42.70833	147.84	WGS84	AU
913009	2007-11-08		1	sequences	43.80003	5.27345	WGS84	FR
867473	2011-10-12		1	sequences				IT
867915	2013-03-02		1	sequences	38.0078	14.19875	WGS84	IT
1856809			2	sequences				GB
284969	2006-09-28		1	sequences	59.2645	27.57083	WGS84	EE
284962	2006-09-28		1	sequences	59.2645	27.57083	WGS84	EE
475347	2011-08-23		1	sequences	58.2775	27.31111	WGS84	EE
864171	2002-04-13		1	sequences				ID
897546	2012-08-25		2	sequences	2.96667	102.3	WGS84	MY
933567	2008-01-24		1	sequences	-13.538	24.12742	WGS84	ZM
870058	2008-04-29		1	sequences	4.17167	9.21333	WGS84	CM
61			160	sequences	58.45	22.0	WGS84	EE
367854	1993-08-13		2	sequences				EE
403813	2007-09-08		1	sequences	59.12825	23.67463	WGS84	EE
1331			5	sequences				PT
38649			35	sequences	47.98	8.75	WGS84	DE
412			85	sequences	51.09111	10.52333	WGS84	DE
6207			53	sequences	39.283	-121.283	WGS84	US
6440			55	sequences				GB
7050			20	sequences				IT
374			3	sequences				HU
967300			1	sequences	36.526	32.3138	WGS84	TR
40304			269	sequences	58.28333	27.31667	WGS84	EE
285326	2005-09-03		1	sequences				EE
61329			120	sequences				EE
60732			31	sequences	58.365	26.72417	WGS84	EE
865637	2008-11-02		1	sequences	36.59781	51.57102	WGS84	IR
109311			371	sequences				IR
22979			3	sequences				HU
24411		Tartust valitud 23 proovikohta, Porunist 1. Igast saidist võetud 6 proovi.	48	sequences	59.17444	27.81667	WGS84	EE
170773			48	sequences				IT
177076			294	sequences				CN
186898			348	sequences				
196809			92	sequences				MX
196874			128	sequences	33.8083	-116.7778	WGS84	US
199240			26	sequences	37.12	110.07	WGS84	CN
200687			68	sequences				HU
236771			273	sequences				DE
1401343			40	sequences				
1464801	2014-12-06		1	sequences	34.00961202	-4.28583498	WGS84	MA
1464863	2012-08-01		1	sequences	58.949	23.69	WGS84	EE
1465821	2015-08-19		1	sequences	58.464704	23.833498	WGS84	EE
1465986	2015-09-27		1	sequences	58.47507	22.94365	WGS84	EE
1466009	2015-09-30		1	sequences	58.536761	26.283218	WGS84	EE
1526908			13	sequences				
1530790			4	sequences	19.48	-101.42	WGS84	MX
1590530			63	sequences	36.66	112.1	WGS84	CN
1590531			66	sequences	35.28	108.61	WGS84	CN
1957422			42	sequences				
952220	2001-10-30		2	sequences				DK
949274	2005-09-14		2	sequences				GB
905960	1997-09-10		1	sequences				NO
483			96	sequences	58.28	27.325	WGS84	EE
484			104	sequences	58.03167	24.96167	WGS84	EE
