occurrenceID	eventID	taxonID	scientificName	organismQuantity	organismQuantityType	kingdom	phylum	class	order	family	genus	species	references
379462	170457	SH176328.07FU	SH176328.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			https://unite.ut.ee/bl_forw.php?id=379462
340450	159026	SH176329.07FU	SH176329.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		https://unite.ut.ee/bl_forw.php?id=340450
343238	157721	SH189339.07FU	SH189339.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			https://unite.ut.ee/bl_forw.php?id=343238
258605	120435	SH189340.07FU	SH189340.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			https://unite.ut.ee/bl_forw.php?id=258605
91566	255513	SH189337.07FU	SH189337.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		https://unite.ut.ee/bl_forw.php?id=91566
95206	13841	SH189337.07FU	SH189337.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		https://unite.ut.ee/bl_forw.php?id=95206
479874	199336	SH189337.07FU	SH189337.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		https://unite.ut.ee/bl_forw.php?id=479874
560970	1399672	SH189337.07FU	SH189337.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		https://unite.ut.ee/bl_forw.php?id=560970
591319	1403579	SH189337.07FU	SH189337.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		https://unite.ut.ee/bl_forw.php?id=591319
328515	554062	SH189336.07FU	SH189336.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella ellisii	https://unite.ut.ee/bl_forw.php?id=328515
167334	454856	SH189336.07FU	SH189336.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella ellisii	https://unite.ut.ee/bl_forw.php?id=167334
596072	1465826	SH189336.07FU	SH189336.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella ellisii	https://unite.ut.ee/bl_forw.php?id=596072
60793	401	SH189335.07FU	SH189335.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella ellisii	https://unite.ut.ee/bl_forw.php?id=60793
78870	395	SH189335.07FU	SH189335.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella ellisii	https://unite.ut.ee/bl_forw.php?id=78870
86424	362	SH189335.07FU	SH189335.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella ellisii	https://unite.ut.ee/bl_forw.php?id=86424
568296	1400484	SH189335.07FU	SH189335.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella ellisii	https://unite.ut.ee/bl_forw.php?id=568296
61	263282	SH189341.07FU	SH189341.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		https://unite.ut.ee/bl_forw.php?id=61
