occurrenceID	eventID	taxonID	scientificName	organismQuantity	organismQuantityType	kingdom	phylum	class	order	family	genus	species
1	199348	SH532010.07FU	SH532010.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
2	1398508	SH532010.07FU	SH532010.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
3	1463657	SH532108.07FU	SH532108.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora		
4	1401719	SH532401.07FU	SH532401.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
5	1401719	SH532392.07FU	SH532392.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
6	867476	SH217499.07FU	SH217499.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora		
7	236476	SH217499.07FU	SH217499.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora		
8	1398645	SH532801.07FU	SH532801.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
9	1398646	SH532806.07FU	SH532806.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
10	1398643	SH532811.07FU	SH532811.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
11	1398780	SH523535.07FU	SH523535.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
12	1398636	SH532823.07FU	SH532823.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
13	185914	SH184638.07FU	SH184638.07FU	2	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
14	99720	SH184618.07FU	SH184618.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
15	1060858	SH184618.07FU	SH184618.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
16	156935	SH184577.07FU	SH184577.07FU	3	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
17	2454	SH184572.07FU	SH184572.07FU	4	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
18	40268	SH184620.07FU	SH184620.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
19	109238	SH184620.07FU	SH184620.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
20	40290	SH184625.07FU	SH184625.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
21	40291	SH184625.07FU	SH184625.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
22	156079	SH184612.07FU	SH184612.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
23	177076	SH184612.07FU	SH184612.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
24	123551	SH184655.07FU	SH184655.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
25	123550	SH184656.07FU	SH184656.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
26	40307	SH184657.07FU	SH184657.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
27	897557	SH184658.07FU	SH184658.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
28	170015	SH184663.07FU	SH184663.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
29	100325	SH184676.07FU	SH184676.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
30	10894	SH184679.07FU	SH184679.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
31	967296	SH184688.07FU	SH184688.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
32	583590	SH184690.07FU	SH184690.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
33	867470	SH184694.07FU	SH184694.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella fuscocinerea	
34	373	SH184650.07FU	SH184650.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
35	374	SH184650.07FU	SH184650.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
36	106054	SH184699.07FU	SH184699.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
37	1526926	SH184699.07FU	SH184699.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
38	1526927	SH184699.07FU	SH184699.07FU	3	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
39	6207	SH184705.07FU	SH184705.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
40	8527	SH184709.07FU	SH184709.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
41	21611	SH184711.07FU	SH184711.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
42	903248	SH184712.07FU	SH184712.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella pirolae	
43	42011	SH184716.07FU	SH184716.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
44	401	SH184721.07FU	SH184721.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
45	38400	SH184723.07FU	SH184723.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora		
46	1181	SH184724.07FU	SH184724.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora		
47	156079	SH184726.07FU	SH184726.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
48	169405	SH184730.07FU	SH184730.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
49	159895	SH184735.07FU	SH184735.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
50	170773	SH184737.07FU	SH184737.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
51	11382	SH184745.07FU	SH184745.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
52	99566	SH184747.07FU	SH184747.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
53	100325	SH184748.07FU	SH184748.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
54	1181	SH184749.07FU	SH184749.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
55	156472	SH184751.07FU	SH184751.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
56	177254	SH184755.07FU	SH184755.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
57	185914	SH184756.07FU	SH184756.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
58	2646	SH184757.07FU	SH184757.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
59	25	SH184761.07FU	SH184761.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
60	17786	SH184762.07FU	SH184762.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
61	189791	SH184765.07FU	SH184765.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora		
62	6440	SH184766.07FU	SH184766.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
63	177254	SH184772.07FU	SH184772.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
64	99439	SH184773.07FU	SH184773.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
65	170447	SH184776.07FU	SH184776.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
66	61	SH184778.07FU	SH184778.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
67	6343	SH184779.07FU	SH184779.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella lateritia	
68	4323	SH184780.07FU	SH184780.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
69	2060	SH184788.07FU	SH184788.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
70	460	SH184790.07FU	SH184790.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
71	110006	SH184795.07FU	SH184795.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora		
72	263545	SH184796.07FU	SH184796.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella lateritia	
73	175437	SH184800.07FU	SH184800.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
74	186898	SH184801.07FU	SH184801.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
75	196809	SH184802.07FU	SH184802.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
76	159023	SH184804.07FU	SH184804.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
77	396	SH184805.07FU	SH184805.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
78	2477	SH184807.07FU	SH184807.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
79	903245	SH185280.07FU	SH185280.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella stuposa	
80	114730	SH185312.07FU	SH185312.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
81	197977	SH527478.07FU	SH527478.07FU	2	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
82	401	SH218382.07FU	SH218382.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
83	362	SH218382.07FU	SH218382.07FU	2	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
84	120435	SH218382.07FU	SH218382.07FU	2	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
85	1400484	SH218382.07FU	SH218382.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
86	1464330	SH218382.07FU	SH218382.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
87	1477046	SH521996.07FU	SH521996.07FU	5	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
88	897585	SH478697.07FU	SH478697.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora vialis	
89	12035	SH478837.07FU	SH478837.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Pseudotomentella		
90	1400476	SH522946.07FU	SH522946.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
91	1530786	SH522946.07FU	SH522946.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
92	1401343	SH527558.07FU	SH527558.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
93	1465487	SH527558.07FU	SH527558.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
94	189876	SH479642.07FU	SH479642.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Pseudotomentella		
95	1399149	SH532894.07FU	SH532894.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
96	903317	SH202034.07FU	SH202034.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Odontia	Odontia duemmeri	
97	903319	SH202034.07FU	SH202034.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Odontia	Odontia duemmeri	
98	185784	SH480104.07FU	SH480104.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
99	1475636	SH532658.07FU	SH532658.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
100	1401343	SH522503.07FU	SH522503.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
101	200686	SH523722.07FU	SH523722.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
102	200683	SH523723.07FU	SH523723.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
103	8527	SH178137.07FU	SH178137.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
104	199342	SH178137.07FU	SH178137.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
105	10308	SH178287.07FU	SH178287.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
106	1464738	SH178287.07FU	SH178287.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
107	236476	SH523241.07FU	SH523241.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
108	908541	SH480776.07FU	SH480776.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
109	236148	SH523250.07FU	SH523250.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
110	1399961	SH529321.07FU	SH529321.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
111	235467	SH523333.07FU	SH523333.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
112	1401139	SH533026.07FU	SH533026.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
113	1401343	SH533033.07FU	SH533033.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
114	234778	SH529404.07FU	SH529404.07FU	2	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
115	1398508	SH529404.07FU	SH529404.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
116	8527	SH189555.07FU	SH189555.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
117	6343	SH189555.07FU	SH189555.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
118	88309	SH189539.07FU	SH189539.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
119	88339	SH189539.07FU	SH189539.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
120	118	SH189534.07FU	SH189534.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
121	18401	SH189534.07FU	SH189534.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
122	583630	SH189588.07FU	SH189588.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora		
123	173164	SH189592.07FU	SH189592.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
124	897104	SH189597.07FU	SH189597.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella		
125	169039	SH189643.07FU	SH189643.07FU	1	sequences	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae			
